STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-01 02:25,SAOSP,,4.97,,6,-14.3,,,3,-16.0,87,3,050,,,3,-0.02,,,29.79,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-01 04:45,SAOSP,,0.50,||FG:45,4,-15.5,,,1,-17.1,88,3,030,,,8,+0.02,,,29.76,,,,,,,,,,0720,1645,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-01 11:00,SAO,,19.88,,12,-11.0,,,5,-14.9,73,0,000,,,8,+0.01,,,29.74,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-01 13:55,SAOSP,,29.83,,21,-6.0,,,7,-13.8,54,3,330,,,7,+0.04,,,29.68,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-01 16:59,SAOSP,,19.88,,14,-9.9,,,6,-14.3,71,3,330,,,3,-0.02,,,29.71,,,,,,,,,,0720,1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-01 19:45,SAOSP,,29.83,,8,-13.2,,,-8,-22.1,47,7,030,,,1,-0.02,,,29.74,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-01 22:45,SAOSP,,19.88,,8,-13.2,,,-2,-18.8,63,6,050,,,2,-0.01,,,29.75,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-02 01:45,SAOSP,,4.97,,12,-11.0,,,7,-13.8,80,6,320,,,2,-0.00,,,29.76,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-02 04:50,SAOSP,,19.88,,14,-9.9,,,5,-14.9,67,9,360,,,4,0.00,,,29.76,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-02 07:45,SAOSP,,19.88,,14,-9.9,,,2,-16.6,58,13,310,,,2,-0.03,,,29.80,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-02 10:45,SAOSP,,29.83,,20,-6.6,,,-2,-18.8,38,10,360,,,2,-0.03,,,29.84,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-02 14:00,SAO,,29.83,,21,-6.0,,,-5,-20.5,31,14,360,,,7,+0.03,,,29.80,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-02 16:45,SAOSP,,29.83,,18,-7.7,,,2,-16.6,49,8,360,,,2,-0.02,,,29.83,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-02 19:45,SAOSP,,29.83,,14,-9.9,,,2,-16.6,58,6,050,,,2,-0.01,,,29.84,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-02 22:45,SAOSP,,29.83,,17,-8.2,,,9,-12.7,70,9,010,,,7,+0.01,,,29.83,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-03 01:53,SAOSP,,29.83,,12,-11.0,,,8,-13.2,84,0,000,,,8,+0.01,,,29.82,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-03 07:50,SAOSP,,19.88,,13,-10.5,,,9,-12.7,84,3,040,,,7,+0.06,,,29.73,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-03 10:57,SAOSP,,29.83,,30,-1.0,,,2,-16.6,30,4,190,,,7,+0.07,,,29.64,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-03 16:48,SAOSP,,9.94,,19,-7.1,,,4,-15.5,52,9,190,,,7,+0.03,,,29.50,,,,,,,,,,0720,1646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-03 19:53,SAOSP,,9.94,,11,-11.6,,,6,-14.3,81,3,320,,,6,+0.01,,,29.49,,,,,,,,,,0720,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-03 22:53,SAOSP,,4.97,,15,-9.3,,,12,-11.0,88,9,290,,,7,+0.01,,,29.50,,,,,,,,,,0720,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-04 01:45,SAOSP,,2.98,,11,-11.6,,,6,-14.3,81,11,010,,,3,-0.06,,,29.58,,,,,,,,,,0720,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-04 07:48,SAOSP,,4.97,,11,-11.6,,,4,-15.5,73,9,010,,,,,,,29.68,,,,,,,,,,0720,1647,,25.00s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-04 10:45,SAOSP,,2.98,,13,-10.5,,,4,-15.5,67,8,300,,,2,-0.05,,,29.75,,,,,,,,,,0720,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-04 14:10,SAOSP,,14.91,,16,-8.8,,,-4,-19.9,41,13,340,,,7,+0.01,,,29.74,,,,,,,,,,0720,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-04 16:45,SAOSP,,19.88,,11,-11.6,,,1,-17.1,64,11,340,,,2,-0.04,,,29.79,,,,,,,,,,0720,1647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-04 19:48,SAOSP,,29.83,,2,-16.6,,,-1,-18.2,88,4,070,,,2,-0.01,,,29.81,,,,,,,,,,0720,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-04 22:59,SAOSP,,29.83,,-3,-19.3,,,-6,-21.0,87,7,090,,,2,-0.02,,,,,,,,,,,,,0720,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-05 04:45,SAOSP,,29.83,,-14,-25.5,,,,,,2,010,,,7,+0.02,,,29.81,,,,,,,,,,0720,1648,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-05 07:45,SAOSP,,29.83,,-6,-21.0,,,-13,-24.9,71,0,000,,,2,-0.02,,,29.84,,,,,,,,,,0720,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-05 10:49,SAOSP,,19.88,,5,-14.9,,,0,-17.7,79,8,220,,,7,+0.04,,,29.79,,,,,,,,,,0720,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-05 13:56,SAOSP,,0.62,,11,-11.6,,,4,-15.5,73,3,190,,,7,+0.05,,,29.72,,,,,,,,,,0720,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-05 16:48,SAOSP,,0.75,,11,-11.6,,,8,-13.2,88,0,000,,,2,-0.01,,,29.73,,,,,,,,,,0720,1648,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-05 19:52,SAOSP,,9.94,,2,-16.6,,,2,-16.6,100,4,090,,,2,-0.02,,,29.76,,,,,,,,,,0720,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-05 22:45,SAOSP,,9.94,,7,-13.8,,,2,-16.6,80,8,020,,,2,-0.01,,,29.79,,,,,,,,,,0720,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-06 04:59,SAOSP,,9.94,,1,-17.1,,,-2,-18.8,87,6,070,,,2,-0.03,,,29.90,,,,,,,,,,0720,1649,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:03017,DENVER INTERNATIONAL AIRPORT CO US,1650.2,39.8328,-104.6575,1977-01-06 07:45,SAOSP,,29.83,,-4,-19.9,,,-9,-22.7,79,8,040,,,2,-0.06,,,29.98,,,,,,,,,,0720,1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
